Image,Annotations
/train/w_7812.jpg,/annotations/w_7812.json
/train/w_4598.jpg,/annotations/w_4598.json
/train/w_3828.jpg,/annotations/w_3828.json
/train/w_8734.jpg,/annotations/w_8734.json
/train/w_3251.jpg,/annotations/w_3251.json
/train/w_8063.jpg,/annotations/w_8063.json
/train/w_5624.jpg,/annotations/w_5624.json
/train/w_825.jpg,/annotations/w_825.json
/train/w_3974.jpg,/annotations/w_3974.json
/train/w_3049.jpg,/annotations/w_3049.json
/train/w_6660.jpg,/annotations/w_6660.json
/train/w_3909.jpg,/annotations/w_3909.json
/train/w_2632.jpg,/annotations/w_2632.json
/train/w_7754.jpg,/annotations/w_7754.json
/train/w_1681.jpg,/annotations/w_1681.json
/train/w_4130.jpg,/annotations/w_4130.json
/train/w_1194.jpg,/annotations/w_1194.json
/train/w_5390.jpg,/annotations/w_5390.json
/train/w_8923.jpg,/annotations/w_8923.json
/train/w_8790.jpg,/annotations/w_8790.json
/train/w_4522.jpg,/annotations/w_4522.json
/train/w_6695.jpg,/annotations/w_6695.json
/train/w_1052.jpg,/annotations/w_1052.json
/train/w_7212.jpg,/annotations/w_7212.json
/train/w_735.jpg,/annotations/w_735.json
/train/w_3805.jpg,/annotations/w_3805.json
/train/w_707.jpg,/annotations/w_707.json
/train/w_9271.jpg,/annotations/w_9271.json
/train/w_7097.jpg,/annotations/w_7097.json
/train/w_3779.jpg,/annotations/w_3779.json
/train/w_5312.jpg,/annotations/w_5312.json
/train/w_6038.jpg,/annotations/w_6038.json
/train/w_5859.jpg,/annotations/w_5859.json
/train/w_6731.jpg,/annotations/w_6731.json
/train/w_4144.jpg,/annotations/w_4144.json
/train/w_4817.jpg,/annotations/w_4817.json
/train/w_2319.jpg,/annotations/w_2319.json
/train/w_446.jpg,/annotations/w_446.json
/train/w_8673.jpg,/annotations/w_8673.json
/train/w_5770.jpg,/annotations/w_5770.json
/train/w_133.jpg,/annotations/w_133.json
/train/w_3003.jpg,/annotations/w_3003.json
/train/w_5033.jpg,/annotations/w_5033.json
/train/w_6015.jpg,/annotations/w_6015.json
/train/w_6511.jpg,/annotations/w_6511.json
/train/w_2935.jpg,/annotations/w_2935.json
/train/w_4664.jpg,/annotations/w_4664.json
/train/w_5938.jpg,/annotations/w_5938.json
/train/w_8430.jpg,/annotations/w_8430.json
/train/w_9105.jpg,/annotations/w_9105.json
/train/w_6365.jpg,/annotations/w_6365.json
/train/w_2577.jpg,/annotations/w_2577.json
/train/w_8281.jpg,/annotations/w_8281.json
/train/w_3392.jpg,/annotations/w_3392.json
/train/w_9358.jpg,/annotations/w_9358.json
/train/w_8357.jpg,/annotations/w_8357.json
/train/w_2883.jpg,/annotations/w_2883.json
/train/w_1087.jpg,/annotations/w_1087.json
/train/w_9328.jpg,/annotations/w_9328.json
/train/w_4469.jpg,/annotations/w_4469.json
/train/w_3983.jpg,/annotations/w_3983.json
/train/w_4441.jpg,/annotations/w_4441.json
/train/w_7702.jpg,/annotations/w_7702.json
/train/w_1325.jpg,/annotations/w_1325.json
/train/w_7416.jpg,/annotations/w_7416.json
/train/w_4213.jpg,/annotations/w_4213.json
/train/w_869.jpg,/annotations/w_869.json
/train/w_9376.jpg,/annotations/w_9376.json
/train/w_5075.jpg,/annotations/w_5075.json
/train/w_1057.jpg,/annotations/w_1057.json
/train/w_4261.jpg,/annotations/w_4261.json
/train/w_4974.jpg,/annotations/w_4974.json
/train/w_2469.jpg,/annotations/w_2469.json
/train/w_3807.jpg,/annotations/w_3807.json
/train/w_1264.jpg,/annotations/w_1264.json
/train/w_6066.jpg,/annotations/w_6066.json
/train/w_6052.jpg,/annotations/w_6052.json
/train/w_5811.jpg,/annotations/w_5811.json
/train/w_3444.jpg,/annotations/w_3444.json
/train/w_8582.jpg,/annotations/w_8582.json
/train/w_8962.jpg,/annotations/w_8962.json
/train/w_6326.jpg,/annotations/w_6326.json
/train/w_2989.jpg,/annotations/w_2989.json
/train/w_5587.jpg,/annotations/w_5587.json
/train/w_7405.jpg,/annotations/w_7405.json
/train/w_527.jpg,/annotations/w_527.json
/train/w_2302.jpg,/annotations/w_2302.json
/train/w_3403.jpg,/annotations/w_3403.json
/train/w_7462.jpg,/annotations/w_7462.json
/train/w_3777.jpg,/annotations/w_3777.json
/train/w_4895.jpg,/annotations/w_4895.json
/train/w_6563.jpg,/annotations/w_6563.json
/train/w_6882.jpg,/annotations/w_6882.json
/train/w_4706.jpg,/annotations/w_4706.json
/train/w_2578.jpg,/annotations/w_2578.json
/train/w_9406.jpg,/annotations/w_9406.json
/train/w_4071.jpg,/annotations/w_4071.json
/train/w_2212.jpg,/annotations/w_2212.json
/train/w_8153.jpg,/annotations/w_8153.json
/train/w_3648.jpg,/annotations/w_3648.json
/train/w_5084.jpg,/annotations/w_5084.json
/train/w_1654.jpg,/annotations/w_1654.json
/train/w_6801.jpg,/annotations/w_6801.json
/train/w_6612.jpg,/annotations/w_6612.json
/train/w_5032.jpg,/annotations/w_5032.json
/train/w_1115.jpg,/annotations/w_1115.json
/train/w_7935.jpg,/annotations/w_7935.json
/train/w_2185.jpg,/annotations/w_2185.json
/train/w_6303.jpg,/annotations/w_6303.json
/train/w_4961.jpg,/annotations/w_4961.json
/train/w_4435.jpg,/annotations/w_4435.json
/train/w_112.jpg,/annotations/w_112.json
/train/w_7622.jpg,/annotations/w_7622.json
/train/w_6262.jpg,/annotations/w_6262.json
/train/w_8756.jpg,/annotations/w_8756.json
/train/w_4277.jpg,/annotations/w_4277.json
/train/w_1683.jpg,/annotations/w_1683.json
/train/w_1477.jpg,/annotations/w_1477.json
/train/w_4236.jpg,/annotations/w_4236.json
/train/w_2078.jpg,/annotations/w_2078.json
